Virus Enters Upper Respiratory Tract,Upper Respiratory Tract epithelial infection,Infection of olfactory epithelium,Anosmia and/or aguesia,Alveolar epithelial infection,Alveolar endothelial infection,Viremia,Systemic immune/inflammatory response,Pulmonary capillary leakage,Dry cough,Productive cough
-1.308362,-0.722319,-0.725064,-0.835166,1.143218,-0.276501,-0.357811,-0.818194,-0.930533,-1.039344,-0.432551
-0.708212,0.326427,0.316499,-0.560396,-0.66174,0.178783,-1.005014,-0.080583,0.218987,-0.863331,0.8994
-0.165981,0.635526,-0.761631,0.686506,0.189344,-0.665396,-0.049526,0.450165,1.157681,0.490278,-0.551216
-1.235247,-1.255907,0.847867,-1.209969,-0.088286,-0.073073,-0.503106,0.011268,0.583907,-0.84492,-0.067037
0.914972,0.755676,0.161161,0.209791,-0.297386,-0.352945,-0.696961,0.868672,0.346325,0.299411,-0.964669
0.789582,1.367316,-0.100536,0.244294,-1.519937,0.873629,-0.273801,0.084929,1.300015,0.328326,-0.684776
0.610016,0.185713,1.338967,0.249643,0.612882,-0.268323,0.139939,-0.420331,0.5228,-0.109143,0.821169
-0.872066,-0.096787,-1.039344,-0.549191,-0.632234,-0.132664,-0.014185,-0.23199,-0.125719,0.495239,-0.547778
0.270281,0.04446,-1.157943,0.016985,0.481647,-0.287854,0.116967,-0.177287,0.940793,0.381938,0.692814
0.250239,0.426019,-0.563587,0.637899,-0.260463,-1.423093,-1.349693,0.654161,-0.331145,-0.251487,-0.016284
0.957142,0.542489,0.597599,-0.726909,0.569077,-0.811869,0.143167,-0.139311,-0.403272,-0.464918,0.089963
0.408355,0.384392,0.722894,1.017672,0.570007,0.045157,0.132293,-0.1574,-0.465325,-1.371965,0.74479
-0.035078,-0.488445,-0.224065,0.526989,0.167977,0.293678,-0.319493,0.398904,0.569278,-0.130747,0.732586
-0.479168,0.322755,-0.206105,0.089109,-0.103193,0.052109,0.006781,-0.608524,0.973772,0.188943,-0.559945
1.220426,0.584465,0.382938,-0.235653,0.369748,0.514433,-0.558254,-0.055785,0.025574,-0.059141,0.141404
-2.239974,-0.792642,0.000711,0.337125,-0.644553,-0.232661,-1.40649,-0.323395,-1.240359,-1.182969,0.773614
-1.589439,-0.673058,-0.594583,0.972796,0.845604,-0.025601,0.181896,-0.952013,-0.728871,0.037638,1.199577
-0.335032,-0.005759,0.736223,0.236691,-0.194583,-0.404853,-0.330533,-0.270776,0.388901,0.299264,-0.040804
-1.20837,-0.462159,-1.249997,-0.89681,-0.542319,0.04837,-0.701694,-0.175839,0.431061,1.175888,0.790263
2.371072,0.454629,1.281946,0.52942,-1.375937,0.208425,-0.29311,1.041616,0.961879,0.884977,-0.513733
-0.970393,-0.116907,-0.986758,-0.98599,0.271519,0.424412,-0.065253,0.38085,0.067516,-0.481226,-0.074557
1.306502,0.284373,-0.723239,-0.438065,-0.009925,-0.266288,0.384218,0.379508,-0.75476,0.63261,0.281811
0.748124,0.189116,0.338279,-0.223355,0.592139,-0.194812,1.341911,0.135532,0.267419,-0.069921,-0.667766
0.020167,0.309361,0.144983,-0.437182,0.878674,0.572561,1.132226,-1.024709,-0.523848,-1.022106,0.155438
-0.508668,-0.008247,0.189367,0.470333,-1.026732,0.750758,-1.357054,0.614865,-0.068374,-1.060707,0.493944
-0.451328,1.047988,0.562243,-0.667494,0.175364,-1.102226,-0.074173,0.48651,-0.813103,-0.421735,0.611535
-0.1363,-0.675148,-0.012838,-0.288247,-0.612501,-0.348041,-0.469361,-0.30706,-0.222314,-0.329694,0.296764
-0.996138,0.061953,-0.457628,-0.913222,0.140143,-0.690388,0.333228,0.406936,-0.199128,-0.04589,-0.058849
0.668257,0.975785,0.300783,0.411674,-1.117835,-0.235214,0.146759,0.702725,1.154447,0.465087,-1.32602
1.900101,0.532354,0.631562,0.077488,0.767916,-0.391037,0.484374,0.563182,-0.789386,0.224935,0.74074
-1.338148,-0.580495,0.577666,-0.017039,-0.485063,1.173859,0.663904,-0.710587,-0.143565,-0.90462,-0.893848
0.693241,-0.482056,0.767928,0.15049,0.319871,1.210426,-0.100386,-1.246733,-1.186053,0.572447,1.036871
-0.270997,0.369646,0.57489,0.02496,0.958484,-0.303142,0.355662,0.790438,-0.328493,-0.804331,0.09786
0.324242,1.235151,0.229332,-0.046005,-1.296466,0.053798,0.020831,0.51464,0.679914,1.204951,-1.548348
-0.080281,-1.069075,-0.655174,0.13654,0.058783,0.663532,-0.543048,-0.681312,-0.611205,-1.095654,0.937989
-0.346472,-1.167748,-0.554943,-1.290941,-0.544512,0.906506,-0.582841,-0.02693,-0.792575,-1.300471,-0.052534
2.050431,0.559425,0.157732,-0.874697,0.807869,0.760491,0.571062,-0.194693,-0.017844,0.111262,1.048011
-0.367159,-0.798946,-0.618413,-0.851219,0.211186,-0.764706,-0.682396,-0.35139,-0.557886,-0.446735,-0.899118
2.985773,1.280927,0.630254,1.133891,-0.011187,0.485399,1.229713,-0.510812,-0.283924,0.934801,0.132094
-0.148786,0.488762,-0.545504,0.843321,0.425129,-0.281988,0.154096,0.509783,-1.038704,-0.831352,0.456089
2.630253,0.494224,-0.439349,0.047865,0.434675,-0.122488,-0.158997,0.275774,0.162173,1.49864,0.768936
1.029665,-1.4784,-0.229953,-0.438467,0.035992,-0.088347,-1.318652,0.40819,0.12276,-0.546326,-0.194469
1.307012,1.109678,1.035751,0.713453,-0.856364,-0.130739,0.906853,-0.062845,0.760444,0.846353,-0.712545
-0.047861,-0.158928,0.43582,0.518614,-0.969456,-0.194556,-0.389551,0.399102,-0.602215,-0.508906,0.003391
0.702623,0.143756,0.896773,0.305272,-0.518619,-0.527621,-0.096805,0.773345,1.041844,-1.181485,-0.220677
-0.423902,-0.838128,-1.190789,-0.876519,-0.308332,0.953614,-0.018644,-0.736832,0.231474,0.545576,0.706199
-0.675295,-1.440454,-0.697601,0.422415,0.895175,-0.295306,0.089348,-0.61029,-0.405654,-1.088913,-0.740014
0.188536,-0.424234,-0.338255,0.735824,-0.30182,-0.676574,-0.671495,1.238365,-0.045007,-1.097923,0.688056
1.425409,-1.288217,-0.515328,0.142683,0.926832,-0.460617,-0.679624,0.258549,-0.350464,0.392949,0.413549
0.159303,-1.291455,-0.95075,-0.761441,0.734943,-0.320026,-0.120772,0.452564,-0.70223,-0.568835,0.592356
-1.187573,-1.046945,-1.201176,-0.038492,0.341954,0.784256,0.35406,-0.453216,-1.053256,-1.138924,0.975077
-2.26441,0.450149,-0.357584,-0.513126,-0.279359,0.637597,0.022714,0.224319,0.758009,1.11734,-0.681601
1.435388,-0.645605,-0.378206,-0.174982,0.669797,-1.007145,-0.162114,0.020409,-0.568978,-0.709943,1.253689
-1.15787,0.425663,-1.026401,-1.055746,-0.666118,-0.772787,-0.038195,1.123531,0.795257,0.708293,-1.074522
-0.837571,0.452181,-0.674361,-1.121018,-0.394252,1.289157,-0.055409,-0.195003,0.782743,1.239547,-1.690961
0.8438,0.440096,0.545541,0.148357,-0.08351,-0.684096,0.137667,-0.363316,0.317082,-0.629186,0.868968
-1.498661,-0.946689,0.046898,0.105614,-0.777086,-0.553692,-1.286373,-0.625363,0.833829,-0.893699,-0.916675
0.497282,0.574715,-0.7549,-0.648147,-0.272655,-0.466882,0.469518,-0.344179,0.341598,0.612122,-0.241811
-0.881357,-0.744863,0.216579,-0.147919,0.470465,-0.479274,-0.704638,-0.600997,0.277773,-0.28244,0.371562
-0.169692,0.273081,-1.084384,-0.477529,-1.061028,0.129308,-0.553379,1.151751,0.909739,0.612413,-0.942206
0.58122,0.791573,0.234875,-0.544014,0.781643,-0.12401,1.029325,-0.438827,-0.057804,0.299117,0.449399
-0.185788,0.541215,-1.238913,-1.966654,0.408038,-0.938866,0.193357,0.842971,0.834796,0.302346,-1.694652
0.141866,-1.077317,-0.301977,1.374415,-0.137413,0.00999,-0.803324,-1.187414,-0.434486,-0.469608,-0.499664
-0.055251,-0.140527,-0.284309,-0.199224,-0.854272,0.759542,-0.537567,-0.894006,-0.030182,0.371889,-0.144497
-1.31638,-0.52122,0.543632,0.520551,0.556335,-0.167469,0.442454,-0.947759,-0.670543,-0.312296,0.717337
1.628602,1.328785,0.790172,0.805614,0.823217,-0.785741,-0.606841,0.477518,-0.977643,0.111343,1.154152
-0.895693,-0.794724,-0.648607,0.093108,-0.547338,-0.085379,-0.246578,0.358815,0.212644,-0.997594,-0.909013
0.178035,0.161271,1.259575,1.256416,0.321488,0.399576,0.009891,-0.440687,-0.284312,-0.233447,0.477946
-0.328692,-0.980878,-0.358519,-0.140509,-0.750015,0.608061,-0.473387,0.269848,0.096892,-1.474351,-0.19321
-1.66936,-0.269207,-0.581284,0.876661,-1.51726,0.404469,-1.023417,0.949849,1.025312,1.549696,-0.984627
1.793583,0.794544,-0.548762,0.537641,-0.223522,-0.499418,0.045032,0.101653,0.722108,0.437425,-0.576073
0.709392,0.13377,-0.663855,-1.476098,0.997187,-1.190007,-0.398016,0.849182,0.496858,1.245336,0.972507
-0.616062,1.188648,-0.396752,1.129242,-0.08939,0.516413,0.270385,-0.180434,0.73369,1.043632,-1.329869
1.211943,0.72447,0.516436,1.330268,-0.139175,-0.469133,0.270419,-0.032359,-1.45611,0.803389,0.906385
-1.812296,-0.491043,-0.195263,-0.736588,-0.422423,0.495537,0.106228,-0.918088,1.475334,-0.225479,-0.045243
0.350486,-1.026006,-0.91433,-0.91258,0.852707,-0.018403,-0.160298,-0.390806,-0.943868,0.50008,0.046884
-1.292523,-0.505179,0.516534,1.413096,-0.869236,0.847309,-1.092026,-0.017674,0.301108,-0.898465,-0.231412
-1.279398,0.531445,0.509633,-0.296969,-1.329147,0.407055,-0.374107,0.816885,0.40618,-0.404357,-0.492065
-0.242127,-1.327308,0.159182,1.283486,0.062335,0.422914,-1.74757,0.323697,0.232362,-1.00447,0.478886
2.074569,0.585241,0.227805,-0.582518,0.718139,-1.519063,-0.364746,-0.541429,-0.527155,0.93004,0.658819
-0.537223,-0.882133,0.148266,-0.803307,0.181676,-1.075627,-0.583506,-0.219462,-0.583518,-0.602034,-0.047092
-0.737577,-0.845164,-0.909811,-0.437272,-0.086261,-0.129089,-1.030013,0.513076,-0.127021,0.309235,-0.311563
-0.108982,-0.058135,-0.295135,-0.255843,-0.106699,-0.350535,0.127781,0.32281,0.154509,0.156748,-0.780937
0.432306,0.115749,0.706085,0.727232,-0.048875,1.156427,-0.297344,-0.434737,0.295917,-0.178749,-1.357001
1.410505,-0.954228,1.233836,0.711493,-0.177524,0.607193,0.480646,-0.939558,0.536418,0.876566,-0.735072
0.60116,0.478139,-0.490722,1.128315,0.29329,-1.265417,-0.574911,0.609963,0.051857,0.691151,-0.839754
0.290023,0.326818,-0.694305,0.706958,-0.226818,0.497479,0.190754,-0.522138,0.446962,-0.565326,0.439731
-1.001985,-0.380062,0.27423,-0.549131,-0.223863,-0.720182,-0.669262,0.575356,0.065357,0.370806,0.142589
1.519182,0.805056,0.762378,-0.261335,-0.319639,-0.106596,0.443649,-0.804799,-0.181063,0.511651,1.415693
1.381075,0.194239,0.535537,-0.705068,-0.442289,1.418257,-0.61953,0.865948,0.871108,0.183147,-0.666709
0.225871,-0.657012,-1.170567,-0.754366,-0.513131,-0.555736,-0.390593,0.258019,-0.21445,0.47896,0.282443
-0.395161,-1.061628,-0.168365,-1.048524,-0.212391,0.626049,0.530043,-0.636703,0.614252,-0.393736,0.395348
-2.125511,-1.074904,0.637072,0.983885,-0.71483,-0.092869,0.020768,-0.150422,0.455563,-0.435824,0.694071
-0.315503,-0.594076,-0.845781,0.337266,0.365148,-0.267339,-0.450264,0.017925,-1.211988,-1.118631,0.935261
0.478338,-0.312262,-0.427229,-0.118771,0.883307,-0.752782,-0.453235,-0.390726,-0.914331,-0.623815,0.129165
0.199975,0.08133,0.844288,-0.294146,0.116722,0.074728,-0.087725,0.942844,0.714377,1.168744,0.269564
-0.323476,-0.346549,-0.344478,-0.660394,0.550804,-0.514689,1.120186,-1.242692,-0.091654,-1.122063,0.293942
-0.802719,-1.004775,-0.186792,-0.292827,0.900419,-0.201655,-0.175792,-0.67868,-1.187922,-0.089231,0.688639
0.851071,1.098762,0.576416,-0.46656,0.199721,1.330951,0.440261,-0.651701,-0.415495,1.08645,0.248221
0.993944,-0.195327,-0.427517,0.274213,-0.355586,0.02575,-1.017521,-0.019647,-0.592221,-0.150839,1.163099
0.318999,0.490722,0.093411,1.444233,-0.720586,1.38506,1.347265,-1.110066,-0.461181,-0.079218,-0.740984
-1.105393,-0.320607,0.547201,0.653696,-0.949108,-0.242564,-0.672269,0.040845,1.130181,-0.010457,-0.675158
0.071861,0.032411,-0.818455,0.036643,1.373225,-1.327186,0.451528,-0.490301,-0.982885,0.345323,1.055681
-0.457047,0.067587,0.260931,0.210814,-0.252352,0.148367,-0.172803,-1.120868,-0.784591,0.808579,-0.359775
0.532192,0.418417,1.073706,0.184871,0.858625,1.067913,0.372859,-1.044144,-0.388434,-0.825997,0.375813
0.505469,-0.306003,1.272206,-0.051024,-0.364852,-0.617004,0.091264,0.201062,0.38712,-1.108135,0.028463
-0.863049,-0.397822,-0.689566,-0.349275,0.577652,0.941236,0.656902,-0.670665,0.021764,-0.829385,1.504715
0.228568,-0.551706,-1.009465,-1.00226,0.669243,-0.583787,-0.860413,0.194803,-0.620276,-0.197314,0.568916
-0.797022,-1.125343,-0.674788,-0.184659,0.499688,0.068279,-0.29065,-1.009564,-1.277417,-0.731426,0.652622
0.618982,-0.205633,-0.161821,0.351129,-1.231387,0.23314,-1.323298,0.897105,0.341576,0.265232,-1.51004
-1.144237,-0.843744,1.388059,0.814789,-0.846905,0.89567,-1.377446,1.508632,0.39815,-0.686567,-0.073301
1.203906,0.425682,0.43315,0.532747,-1.104124,0.271815,0.689912,-0.529562,-0.709937,-0.401768,-0.094558
-0.131816,-0.532717,0.075726,-1.05986,0.848353,-0.46435,-0.072973,0.128912,-0.636601,0.305109,0.189782
-1.480645,-0.965368,1.000242,-0.292776,-0.420453,0.793062,-1.064685,-0.033614,-0.317392,0.158103,-0.121675
-0.611622,-0.483905,0.330898,0.455747,-0.685518,0.397868,-0.541865,0.306376,1.718728,0.53641,-0.867467
0.860859,0.032935,0.956633,0.024569,-0.58281,-0.492001,-0.500341,0.495789,-0.88849,0.233722,0.291557
-0.094705,-0.599179,1.28734,0.653883,0.814282,-0.376858,-0.545408,-0.111261,-0.814182,-0.226735,1.135282
-0.47599,-0.344708,0.311373,-0.222403,0.271045,-0.23697,0.01224,-0.261481,0.143006,1.100089,0.133783
0.270441,1.075342,0.348179,0.764993,-0.976072,0.503716,1.000498,0.982052,1.308128,0.644495,-0.857316
0.102461,1.487543,-0.234546,-0.162664,-0.849252,0.673007,0.280074,0.685139,0.934274,-0.264769,-0.242695
1.476384,0.99926,1.289166,0.535341,-0.76644,-0.32293,-0.070072,-0.395206,1.018957,0.833197,-0.327058
-0.612239,1.205139,-0.029311,-0.671616,-1.117414,-0.308149,0.473918,0.835731,1.045914,0.274932,-0.789921
1.74831,0.815538,1.121905,-0.521436,-1.235372,0.379105,0.734174,0.004954,1.183292,-0.145224,-0.986054
0.766753,-0.152918,0.779086,0.657474,0.560717,0.635683,-0.37682,-0.919855,-0.816221,-0.594239,0.314236
0.071947,-0.843301,0.930654,-0.479306,-0.110648,0.630187,0.509529,-1.053502,0.479341,-0.049771,-0.743501
0.883625,0.599788,-0.092317,0.607329,1.105308,-1.083264,0.306244,-0.264071,-0.282194,0.038833,1.261883
-0.501296,-1.278665,-0.005287,0.720926,-0.311089,0.970495,-0.344042,-0.139848,0.089561,-0.158547,-0.277235
-0.770985,-0.63121,0.453632,-0.56753,-0.111392,-0.687457,-0.275166,0.152272,0.123255,-0.264701,0.00052
-0.029751,-0.163553,-0.655176,-0.083788,-1.800408,0.955641,-1.119677,1.211796,0.513194,0.047511,-1.1165
-0.648304,1.440034,0.054784,-0.572079,-0.813397,-0.707449,-0.869383,0.701983,-0.586056,0.859413,-0.477927
-0.009057,-0.323994,0.513881,0.1039,0.726814,-0.371038,-0.057183,-0.265936,-0.838404,0.608092,0.777925
1.320875,0.671126,0.876377,0.537506,0.773642,-1.122735,0.489182,-0.489586,-0.201919,0.327472,0.564086
-0.376901,-0.013647,-0.668242,-0.492377,0.004951,0.128372,-0.491839,0.339534,0.68907,-1.102106,-0.860799
2.074508,1.742714,0.045729,-1.35187,-0.933287,-0.547065,-0.086883,0.810768,0.35142,0.575832,-0.465588
0.314746,0.401229,-0.728339,0.549654,0.755121,0.940598,1.070946,-0.954976,-1.396731,-0.008868,0.760302
-0.101865,0.214365,0.370983,0.766653,0.318205,-0.052771,0.01352,0.441945,-0.032117,0.153362,0.69834
-0.774849,-0.589114,-0.271752,-0.351017,0.873506,-0.784475,0.413635,-0.227248,-1.043965,-0.665321,0.912036
-0.18227,0.195724,-1.466395,-0.466797,-0.510001,-0.009008,-0.630239,0.601783,0.210395,0.089308,-0.640967
0.564022,-0.117601,-0.187966,0.2333,0.450851,0.703672,0.921325,0.066034,0.39825,-0.69497,-0.609616
-0.258509,1.08301,0.279508,0.557087,-0.885352,0.510574,1.004451,0.291108,-0.246181,0.091981,0.708083
-1.118116,-0.097506,1.473418,-0.452333,-0.212886,-0.306464,0.883988,-0.058647,-0.531082,0.068419,-0.360338
-0.271931,-1.44598,-0.553598,0.210074,1.378947,0.065515,-0.524198,-0.509741,0.457029,-0.286704,0.5376
1.060354,0.744664,0.697569,-0.46797,-0.409534,-0.221853,-0.68373,1.372376,-0.010521,0.608288,-0.356987
-0.957937,-0.194983,0.49311,-0.170267,-1.251367,0.589959,-0.28428,0.600549,0.388627,-0.192597,-0.59236
-0.633439,-0.439985,0.482046,-0.405596,1.141805,-0.750772,0.677139,-0.06241,-0.762176,-0.121845,0.491448
0.941274,0.381932,1.225561,-0.962879,-0.003963,1.05019,-0.869877,0.401474,0.440826,0.0072,-0.568563
1.208228,0.282659,-1.043737,0.37499,-0.585992,0.361701,-0.282238,0.448813,-0.050766,0.486407,0.6597
0.758644,0.08758,0.866239,-0.481688,-0.47521,-0.05957,-0.641154,-0.081731,-0.765135,0.896589,-1.224271
-0.775035,-1.261286,-0.846593,-0.287155,0.969081,-1.337528,-0.125979,-0.352269,-0.657739,-0.852776,0.726099
-0.618471,0.455519,0.318445,0.85435,-1.407018,0.418531,0.236843,0.057187,0.92416,1.345686,-1.284809
0.837296,1.231129,0.50119,1.313292,0.02587,-0.127146,0.22662,1.123967,-0.183067,-0.613103,0.150999
-1.258296,-0.561996,0.424817,-0.724081,-0.356281,0.563043,0.759065,0.239001,0.23727,-0.818499,0.051163
-0.535169,0.498665,0.808497,-0.444726,-0.171474,-0.428859,-0.78561,0.417498,1.052309,0.93089,-0.483286
1.890534,0.494401,0.50465,-0.00505,0.186367,0.247554,0.157671,0.277138,-0.46217,-0.044975,0.029532
-1.563731,0.395953,-1.190952,-0.989111,-0.557607,-0.17837,-0.132829,0.124199,0.01877,1.086068,0.398269
-0.357621,-0.427061,-0.708809,-0.855688,0.562186,-1.136747,-0.766927,0.79799,-0.481116,1.156581,0.337419
1.005772,0.845027,0.383497,-0.092076,-0.563695,0.85876,0.914834,1.086809,0.483043,0.946663,-0.88002
-0.247604,-0.125351,0.022254,-0.348699,-1.631942,0.918242,0.102998,0.244619,0.429953,-1.035966,-0.422972
0.58054,-0.149959,0.212301,-0.755166,-0.460657,-0.518019,0.261896,0.571178,0.192587,0.352417,0.184231
-0.606705,-0.393996,0.493388,-0.72303,-0.037751,-1.150057,-0.651461,0.222315,-0.557949,-0.549395,0.131179
0.048153,1.027614,0.313835,0.568553,-1.253582,-1.310445,-1.069731,0.919938,0.418501,0.92401,-1.172342
0.478161,0.412697,-0.338605,0.882827,-0.031924,-0.178349,0.611043,-0.211263,-0.450198,0.333383,-0.164071
-0.49611,-0.330398,0.174453,-0.505971,-0.306009,1.043168,-0.781977,0.992197,0.003784,-0.713297,-0.508155
0.536006,1.46097,1.076961,0.22273,-0.132036,0.43306,0.316566,0.682776,0.55058,0.378907,-0.182901
0.19594,-1.294377,-0.581051,-0.601285,0.222228,0.271193,-0.071087,-0.31736,-0.344766,0.848506,-0.78387
0.025418,-1.029595,-0.095943,0.124203,0.781094,0.021788,0.137123,-0.298569,-0.206471,-0.972905,0.58432
-0.400929,1.430466,0.643321,0.270366,-0.248322,0.049469,1.029197,1.03907,0.241571,0.083975,-0.135275
-0.387792,0.206066,0.645672,0.210562,-0.310048,0.845862,0.635229,-0.509392,-0.017591,-0.324307,0.497467
0.032441,-0.761947,-0.397791,-1.006125,0.405332,-1.148203,-1.155562,0.336602,-0.554955,-1.023522,-0.120113
1.647511,-0.256817,-1.093229,-0.172619,0.858313,-1.566527,-0.020111,0.45423,-0.907882,1.001033,0.369454
1.565509,-0.433468,-0.006545,-0.35932,0.503713,0.455428,0.04494,-0.424845,-0.664458,-0.321519,0.648899
-0.893693,0.648455,0.583408,0.50621,-1.144619,-0.044517,-0.964367,0.627739,0.676895,0.939463,-0.562367
-0.215968,0.386746,-0.589525,0.889823,-0.159378,-0.272846,-0.110002,0.583041,-0.196438,0.758113,-0.085526
-0.068563,-0.011247,0.531633,0.981647,0.419538,-0.997484,-1.403521,0.849442,0.068605,-0.068063,0.343569
0.007376,0.330481,0.396388,-0.05321,-0.698637,-0.130135,0.545319,-0.485289,-0.118516,-1.135222,-0.917512
2.374607,0.67195,1.339846,0.674527,-0.210504,-1.359126,0.138388,0.520501,-0.894653,-0.459978,0.07207
0.471092,-0.661532,-0.586073,-1.235412,1.199229,0.156952,0.872199,-0.537901,-1.139361,-1.257631,1.005262
0.337674,0.8884,-0.246451,-0.74199,-0.398725,-0.447116,0.866664,0.189703,-0.445703,1.659889,-0.726848
-1.053735,-1.047572,0.177184,0.593639,-0.502285,0.021029,-0.454151,0.162694,0.685716,-0.277527,-0.862282
-0.109681,0.337199,0.64837,0.603536,-0.116915,0.478814,0.371119,-0.973814,0.460653,-0.232816,-0.185719
-0.439036,0.175683,0.962939,0.799889,-0.255886,0.017104,0.038766,0.628183,0.614415,0.808056,-0.896768
-0.443187,-0.025026,-1.429164,-0.71473,0.954534,-0.542071,1.077356,-0.828591,-1.009043,-1.569288,1.027679
0.620229,-0.738004,0.286104,-0.211419,0.313475,1.642388,-0.187902,-0.163041,-0.031076,0.380389,0.626239
0.648602,0.625134,-0.762782,0.363081,-1.660066,1.522614,-1.256422,1.148818,0.686994,0.518858,-0.273136
0.009105,-0.504204,-1.116312,0.751918,0.651943,-0.535877,-0.050603,-0.479867,-0.093427,-0.818942,0.570803
1.34083,-0.970642,0.760012,1.101176,0.239297,-0.477516,-1.099114,0.190032,-0.429029,0.294529,-0.352055
-1.029516,-0.771253,0.68598,0.029997,-0.157664,-0.559018,-1.507384,0.48913,0.796522,0.150908,-0.535011
-0.349515,-0.054145,0.234692,-0.350538,-0.287267,-0.201084,0.171094,0.204716,0.284856,-0.71066,-0.262593
-0.908234,-0.218899,0.395948,0.543888,-0.002787,0.658371,-0.00757,-0.014892,0.115952,1.042942,-0.074412
